Prolific ID,ProificId,NumUserCommentsCreated,NumActorPostsLiked,NumActorPostsShared,NumActorCommentsLiked,UserPostsCreated,UserCommentsCreated,ActorPostsLiked(ImageName),ActorPostsLiked(PostID),ActorPostsShared(ImageName),ActorPostsShared(PostID),ActorCommentsLiked,TimeOnSite,"TimeSpentEachPost(ImageName,Time)","TimeSpentEachPost(PostID,Time)",PostLookup(PostID=ImageName),PageLog
,66242bcb092bf7d7c94bfbfa,0,0,0,0,,,,,,,,0,,,,
,65707ef834f5c6af96da98ce,0,0,0,0,,,,,,,,187762,"[t02con-real.jpg,8515];[t30con-real.jpg,23336];[t15con-real.jpg,18858];[t05con-real.jpg,9935];[t29con-real.jpg,9037];[t09con-real.jpg,8831];[t21con-real.jpg,7884];[t26con-real.jpg,1633];[t19con-real.jpg,2185];[t04con-real.jpg,2517];[t14con-real.jpg,2349];[t20con-real.jpg,7366];[t23con-real.jpg,5518]","[1,8515];[64,23336];[14,18858];[3,9935];[63,9037];[7,8831];[20,7884];[25,1633];[18,2185];[2,2517];[13,2349];[19,7366];[22,5518]",1=t02con-real.jpg;64=t30con-real.jpg;14=t15con-real.jpg;3=t05con-real.jpg;63=t29con-real.jpg;7=t09con-real.jpg;20=t21con-real.jpg;25=t26con-real.jpg;18=t19con-real.jpg;2=t04con-real.jpg;13=t14con-real.jpg;19=t20con-real.jpg;22=t23con-real.jpg,/newsfeed/condition/
,5c0fcccc1f6f150001487111,0,0,0,0,,,,,,,,90469,"[t30lib-real.jpg,16738];[t02lib-real.jpg,1696];[t05lib-real.jpg,1694];[t15lib-real.jpg,5189];[t23lib-real.jpg,6526];[t09lib-real.jpg,3205];[t29lib-real.jpg,6395];[t01lib-real.jpg,1659];[t03lib-real.jpg,100172]","[31,16738];[1,1696];[3,1694];[14,5189];[22,6526];[7,3205];[29,6395];[0,1659];[9,100172]",31=t30lib-real.jpg;1=t02lib-real.jpg;3=t05lib-real.jpg;14=t15lib-real.jpg;22=t23lib-real.jpg;7=t09lib-real.jpg;29=t29lib-real.jpg;0=t01lib-real.jpg;9=t03lib-real.jpg,
,676ca3da9773676ad989ef10,0,0,0,0,,,,,,,,0,,,,
,647c65c5acb91c89819c7970,0,0,0,0,,,,,,,,0,,,,
,69f6258083ce016cac7af0e9,0,5,2,0,,,"t30lib-ai.png,t15lib-real.jpg,t02lib-real.jpg,t26lib-real.jpg,t23lib-real.jpg","64,14,1,25,22","t05lib-ai.png,t09lib-real.jpg","38,7",,63381,"[t30lib-ai.png,7038];[t21lib-real.jpg,5201];[t15lib-real.jpg,3883];[t02lib-real.jpg,0];[t02lib-real.jpg,2624];[t05lib-ai.png,0];[t09lib-real.jpg,0];[t19lib-real.jpg,4917];[t26lib-real.jpg,0];[t03lib-real.jpg,1919];[t10lib-ai.png,2101];[t22lib-ai.png,2265];[t12lib-real.jpg,1667];[t28lib-real.jpg,1818];[t23lib-real.jpg,6905];[t16lib-ai.png,4967]","[64,7038];[20,5201];[14,3883];[1,0];[1,2624];[38,0];[7,0];[18,4917];[25,0];[9,1919];[43,2101];[56,2265];[11,1667];[27,1818];[22,6905];[50,4967]",64=t30lib-ai.png;20=t21lib-real.jpg;14=t15lib-real.jpg;1=t02lib-real.jpg;38=t05lib-ai.png;7=t09lib-real.jpg;18=t19lib-real.jpg;25=t26lib-real.jpg;9=t03lib-real.jpg;43=t10lib-ai.png;56=t22lib-ai.png;11=t12lib-real.jpg;27=t28lib-real.jpg;22=t23lib-real.jpg;50=t16lib-ai.png,
,5aa117356475f90001a02fd6,0,0,0,0,,,,,,,,210847,,,,/newsfeed/condition/
,69e984b2e203eace95ca9f35,0,0,0,0,,,,,,,,0,,,,
,69eaa2a626aeaf78e6dc5e6e,3,1,1,0,,"I sure hope it ultimately helps US citizens!, on Post t21con-real.jpg (PostID 20), on Day 1
CHOOSE LIFE!, on Post t05con-ai.png (PostID 31), on Day 1
Close the border!, on Post t06con-real.jpg (PostID 4), on Day 1
",t02con-real.jpg,1,t27con-ai.png,54,,0,"[t30con-ai.png,2597];[t15con-real.jpg,4012];[t21con-real.jpg,2313];[t05con-ai.png,1765];[t29con-real.jpg,1754];[t13con-ai.png,1731];[t11con-ai.png,19441];[t04con-real.jpg,6278];[t20con-ai.png,1634];[t27con-ai.png,1566];[t26con-real.jpg,2215];[t28con-real.jpg,2230];[t23con-real.jpg,11494];[t14con-real.jpg,1632];[t19con-real.jpg,1733];[t17con-real.jpg,1817];[t10con-ai.png,2115];[t16con-ai.png,1515];[t09con-real.jpg,0];[t02con-real.jpg,0];[t06con-real.jpg,0]","[64,2597];[14,4012];[20,2313];[31,1765];[63,1754];[40,1731];[38,19441];[2,6278];[47,1634];[54,1566];[25,2215];[27,2230];[22,11494];[13,1632];[18,1733];[16,1817];[36,2115];[43,1515];[7,0];[1,0];[4,0]",64=t30con-ai.png;14=t15con-real.jpg;20=t21con-real.jpg;31=t05con-ai.png;63=t29con-real.jpg;40=t13con-ai.png;38=t11con-ai.png;2=t04con-real.jpg;47=t20con-ai.png;54=t27con-ai.png;25=t26con-real.jpg;27=t28con-real.jpg;22=t23con-real.jpg;13=t14con-real.jpg;18=t19con-real.jpg;16=t17con-real.jpg;36=t10con-ai.png;43=t16con-ai.png;7=t09con-real.jpg;1=t02con-real.jpg;4=t06con-real.jpg,
,67b735b4fe304046ac0528fe,0,2,0,0,,,"t27con-ai.png,t26con-real.jpg","54,25",,,,269532,"[t02con-real.jpg,24131];[t15con-real.jpg,6731];[t29con-real.jpg,11166];[t21con-real.jpg,12017];[t13con-ai.png,7184];[t11con-ai.png,12034];[t05con-ai.png,18385];[t04con-real.jpg,28298];[t20con-ai.png,4835];[t06con-real.jpg,14739];[t27con-ai.png,4457];[t26con-real.jpg,19966];[t17con-real.jpg,6667];[t01con-ai.png,5917];[t14con-real.jpg,5899];[t10con-ai.png,10820];[t22con-ai.png,12416];[t12con-real.jpg,2269];[t19con-real.jpg,9835];[t16con-ai.png,12082];[t03con-real.jpg,3267];[t23con-real.jpg,7251];[t08con-real.jpg,12918]","[1,24131];[14,6731];[63,11166];[20,12017];[40,7184];[38,12034];[31,18385];[2,28298];[47,4835];[4,14739];[54,4457];[25,19966];[16,6667];[28,5917];[13,5899];[36,10820];[49,12416];[11,2269];[18,9835];[43,12082];[9,3267];[22,7251];[6,12918]",1=t02con-real.jpg;14=t15con-real.jpg;63=t29con-real.jpg;20=t21con-real.jpg;40=t13con-ai.png;38=t11con-ai.png;31=t05con-ai.png;2=t04con-real.jpg;47=t20con-ai.png;4=t06con-real.jpg;54=t27con-ai.png;25=t26con-real.jpg;16=t17con-real.jpg;28=t01con-ai.png;13=t14con-real.jpg;36=t10con-ai.png;49=t22con-ai.png;11=t12con-real.jpg;18=t19con-real.jpg;43=t16con-ai.png;9=t03con-real.jpg;22=t23con-real.jpg;6=t08con-real.jpg,
,5bf0b1ecaf38d100016bd609,8,7,1,0,,"Figth?, on Post t30lib-ai.png (PostID 64), on Day 1
It's probably too late. Oh well, should have done something in office I guess., on Post t09lib-real.jpg (PostID 7), on Day 1
He's too busy eating roadkill to read this., on Post t13lib-ai.png (PostID 47), on Day 1
they hurt everyone, on Post t21lib-real.jpg (PostID 20), on Day 1
Why are they in front of pitch black. Obviously AI., on Post t10lib-ai.png (PostID 43), on Day 1
Probably the one good thing the guy did., on Post t12lib-real.jpg (PostID 11), on Day 1
Ceasffre?, on Post t16lib-ai.png (PostID 50), on Day 1
I'm surprised it's only 1 in 3 with the unmet healthcare need., on Post t23lib-real.jpg (PostID 22), on Day 1
","t15lib-real.jpg,t02lib-real.jpg,t13lib-ai.png,t04lib-real.jpg,t14lib-real.jpg,t19lib-real.jpg,t23lib-real.jpg","14,1,47,2,13,18,22",t15lib-real.jpg,14,,0,"[t30lib-ai.png,14843];[t15lib-real.jpg,11467];[t02lib-real.jpg,7169];[t09lib-real.jpg,31346];[t13lib-ai.png,14919];[t21lib-real.jpg,12234];[t05lib-ai.png,17352];[t04lib-real.jpg,9447];[t11lib-ai.png,26785];[t14lib-real.jpg,12854];[t20lib-ai.png,5047];[t19lib-real.jpg,4950];[t29lib-real.jpg,21933];[t17lib-real.jpg,6763];[t03lib-real.jpg,4428];[t08lib-real.jpg,4601];[t10lib-ai.png,35751];[t22lib-ai.png,2216];[t06lib-real.jpg,2734];[t27lib-ai.png,5617];[t12lib-real.jpg,0];[t16lib-ai.png,17816];[t26lib-real.jpg,6517];[t28lib-real.jpg,6650];[t01lib-ai.png,2585];[t23lib-real.jpg,62334]","[64,14843];[14,11467];[1,7169];[7,31346];[47,14919];[20,12234];[38,17352];[2,9447];[45,26785];[13,12854];[54,5047];[18,4950];[29,21933];[16,6763];[9,4428];[6,4601];[43,35751];[56,2216];[4,2734];[61,5617];[11,0];[50,17816];[25,6517];[27,6650];[35,2585];[22,62334]",64=t30lib-ai.png;14=t15lib-real.jpg;1=t02lib-real.jpg;7=t09lib-real.jpg;47=t13lib-ai.png;20=t21lib-real.jpg;38=t05lib-ai.png;2=t04lib-real.jpg;45=t11lib-ai.png;13=t14lib-real.jpg;54=t20lib-ai.png;18=t19lib-real.jpg;29=t29lib-real.jpg;16=t17lib-real.jpg;9=t03lib-real.jpg;6=t08lib-real.jpg;43=t10lib-ai.png;56=t22lib-ai.png;4=t06lib-real.jpg;61=t27lib-ai.png;11=t12lib-real.jpg;50=t16lib-ai.png;25=t26lib-real.jpg;27=t28lib-real.jpg;35=t01lib-ai.png;22=t23lib-real.jpg,/newsfeed/condition/
,6a01e8b3c30c9131c5f46897,0,0,0,0,,,,,,,,0,,,,
,69bc2e44548552e940d2c1e0,2,12,1,0,,"Would love to try, on Post t02con-real.jpg (PostID 1), on Day 1
Great work, on Post t03con-real.jpg (PostID 9), on Day 1
","t02con-real.jpg,t30con-real.jpg,t21con-real.jpg,t05con-ai.png,t11con-real.jpg,t14con-real.jpg,t27con-ai.png,t19con-real.jpg,t08con-real.jpg,t16con-real.jpg,t23con-real.jpg,t10con-real.jpg","1,64,20,31,10,13,54,18,6,15,22,8",t13con-ai.png,40,,362774,"[t02con-real.jpg,56509];[t30con-real.jpg,3884];[t15con-real.jpg,6054];[t21con-real.jpg,3351];[t05con-ai.png,65650];[t09con-real.jpg,82401];[t29con-real.jpg,37019];[t13con-ai.png,37430];[t11con-real.jpg,7190];[t04con-real.jpg,0];[t14con-real.jpg,0];[t20con-real.jpg,0];[t20con-real.jpg,8611];[t06con-real.jpg,7271];[t26con-real.jpg,22926];[t27con-ai.png,4470];[t19con-real.jpg,3031];[t19con-real.jpg,0];[t28con-real.jpg,3871];[t17con-real.jpg,2294];[t03con-real.jpg,17086];[t08con-real.jpg,19304];[t16con-real.jpg,9633];[t23con-real.jpg,9297];[t22con-real.jpg,1722];[t10con-real.jpg,3215]","[1,56509];[64,3884];[14,6054];[20,3351];[31,65650];[7,82401];[63,37019];[40,37430];[10,7190];[2,0];[13,0];[19,0];[19,8611];[4,7271];[25,22926];[54,4470];[18,3031];[18,0];[27,3871];[16,2294];[9,17086];[6,19304];[15,9633];[22,9297];[21,1722];[8,3215]",1=t02con-real.jpg;64=t30con-real.jpg;14=t15con-real.jpg;20=t21con-real.jpg;31=t05con-ai.png;7=t09con-real.jpg;63=t29con-real.jpg;40=t13con-ai.png;10=t11con-real.jpg;2=t04con-real.jpg;13=t14con-real.jpg;19=t20con-real.jpg;4=t06con-real.jpg;25=t26con-real.jpg;54=t27con-ai.png;18=t19con-real.jpg;27=t28con-real.jpg;16=t17con-real.jpg;9=t03con-real.jpg;6=t08con-real.jpg;15=t16con-real.jpg;22=t23con-real.jpg;21=t22con-real.jpg;8=t10con-real.jpg,/newsfeed/condition/
