ProlificId,ScriptMongoId,ImageName,PostBody,DuplicateEntryCount,ExtraEntryCount,LikedStateConflict,DislikedStateConflict,SharedStateConflict,SummedReadTimeMs,EntryDetailsJSON
5a286558564bdf00016463fc,69f563d8d36d0896cb12874e,t20con-ai.png,US President talks #trade and #tarrifs,2,1,false,true,false,11433,"[{""index"":13,""feedActionId"":""6a209ef32f4a01dfe95a1d06"",""liked"":false,""disliked"":true,""shared"":false,""likeTime"":[],""unlikeTime"":[],""dislikeTime"":[""2026-06-03T21:38:58.258Z""],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[],""totalReadTimeMs"":0,""newCommentCount"":0},{""index"":14,""feedActionId"":""6a209ef32f4a01dfe95a1d28"",""liked"":false,""disliked"":false,""shared"":false,""likeTime"":[],""unlikeTime"":[],""dislikeTime"":[],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[11433],""totalReadTimeMs"":11433,""newCommentCount"":0}]"
5a286558564bdf00016463fc,69f563d8d36d0896cb128751,t21con-ai.png,Do tariffs HELP factories or HURT consumers?,2,1,false,true,false,10383,"[{""index"":3,""feedActionId"":""6a209eba2f4a01dfe959f3f1"",""liked"":false,""disliked"":false,""shared"":false,""likeTime"":[],""unlikeTime"":[],""dislikeTime"":[],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[10383],""totalReadTimeMs"":10383,""newCommentCount"":0},{""index"":4,""feedActionId"":""6a209eba2f4a01dfe959f41e"",""liked"":false,""disliked"":true,""shared"":false,""likeTime"":[],""unlikeTime"":[],""dislikeTime"":[""2026-06-03T21:38:00.003Z""],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[],""totalReadTimeMs"":0,""newCommentCount"":0}]"
5abc3250a3ba7a0001b44c37,69f563d5d36d0896cb1286e8,t14con-real,Science and Public Health,2,1,false,true,false,3096,"[{""index"":23,""feedActionId"":""6a209f262f4a01dfe95a4858"",""liked"":false,""disliked"":true,""shared"":false,""likeTime"":[],""unlikeTime"":[],""dislikeTime"":[""2026-06-03T21:39:49.506Z""],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[],""totalReadTimeMs"":0,""newCommentCount"":0},{""index"":24,""feedActionId"":""6a209f272f4a01dfe95a4879"",""liked"":false,""disliked"":false,""shared"":false,""likeTime"":[],""unlikeTime"":[],""dislikeTime"":[],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[3096],""totalReadTimeMs"":3096,""newCommentCount"":0}]"
5ac560359534ba0001c74715,69f563d0d36d0896cb128628,t03lib-real,#police in our communities,2,1,false,true,false,2734,"[{""index"":17,""feedActionId"":""6a201dc587ea14c2d65c1a63"",""liked"":false,""disliked"":true,""shared"":false,""likeTime"":[],""unlikeTime"":[],""dislikeTime"":[""2026-06-03T12:27:47.626Z""],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[],""totalReadTimeMs"":0,""newCommentCount"":0},{""index"":18,""feedActionId"":""6a201dc587ea14c2d65c1a97"",""liked"":false,""disliked"":false,""shared"":false,""likeTime"":[],""unlikeTime"":[],""dislikeTime"":[],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[2734],""totalReadTimeMs"":2734,""newCommentCount"":0}]"
5ac560359534ba0001c74715,69f563d1d36d0896cb128637,t15lib-real,News coverage of the Israel�Palestine war,2,1,false,true,false,15195,"[{""index"":11,""feedActionId"":""6a201dae87ea14c2d65c0b27"",""liked"":false,""disliked"":true,""shared"":false,""likeTime"":[],""unlikeTime"":[],""dislikeTime"":[""2026-06-03T12:26:41.296Z""],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[],""totalReadTimeMs"":0,""newCommentCount"":0},{""index"":12,""feedActionId"":""6a201dae87ea14c2d65c0b48"",""liked"":false,""disliked"":false,""shared"":false,""likeTime"":[],""unlikeTime"":[],""dislikeTime"":[],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[15195],""totalReadTimeMs"":15195,""newCommentCount"":0}]"
5ac560359534ba0001c74715,69f563d4d36d0896cb1286b5,t27lib-ai.png,speech on campus #freedom,2,1,false,true,false,3516,"[{""index"":25,""feedActionId"":""6a201dd987ea14c2d65c2b82"",""liked"":false,""disliked"":true,""shared"":false,""likeTime"":[],""unlikeTime"":[],""dislikeTime"":[""2026-06-03T12:27:14.622Z""],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[],""totalReadTimeMs"":0,""newCommentCount"":0},{""index"":26,""feedActionId"":""6a201dd987ea14c2d65c2ba9"",""liked"":false,""disliked"":false,""shared"":false,""likeTime"":[],""unlikeTime"":[],""dislikeTime"":[],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[3516],""totalReadTimeMs"":3516,""newCommentCount"":0}]"
5b012b19293d310001023590,69f563d5d36d0896cb1286dc,t03con-real,#police in our communities,2,1,true,false,false,3311,"[{""index"":19,""feedActionId"":""6a177926a02f6cba0066d11d"",""liked"":false,""disliked"":false,""shared"":false,""likeTime"":[],""unlikeTime"":[],""dislikeTime"":[],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[3311],""totalReadTimeMs"":3311,""newCommentCount"":1},{""index"":20,""feedActionId"":""6a177926a02f6cba0066d136"",""liked"":true,""disliked"":false,""shared"":false,""likeTime"":[""2026-05-27T23:06:50.114Z""],""unlikeTime"":[],""dislikeTime"":[],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[],""totalReadTimeMs"":0,""newCommentCount"":0}]"
5c4684826a7dbc00017c0a87,69f563d2d36d0896cb128667,t01lib-ai.png,guns in America...,2,1,true,false,false,3130,"[{""index"":26,""feedActionId"":""6a209d7c2f4a01dfe958b0ae"",""liked"":false,""disliked"":false,""shared"":false,""likeTime"":[],""unlikeTime"":[],""dislikeTime"":[],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[3130],""totalReadTimeMs"":3130,""newCommentCount"":0},{""index"":27,""feedActionId"":""6a209d7c2f4a01dfe958b0d5"",""liked"":true,""disliked"":false,""shared"":false,""likeTime"":[""2026-06-03T21:31:21.066Z""],""unlikeTime"":[],""dislikeTime"":[],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[],""totalReadTimeMs"":0,""newCommentCount"":0}]"
5c4684826a7dbc00017c0a87,69f563d0d36d0896cb12861f,t08lib-real,#energyoptions #policy #politics,2,1,true,false,false,3336,"[{""index"":18,""feedActionId"":""6a209d252f4a01dfe958506d"",""liked"":true,""disliked"":false,""shared"":false,""likeTime"":[""2026-06-03T21:31:28.104Z""],""unlikeTime"":[],""dislikeTime"":[],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[],""totalReadTimeMs"":0,""newCommentCount"":0},{""index"":19,""feedActionId"":""6a209d252f4a01dfe95850a2"",""liked"":false,""disliked"":false,""shared"":false,""likeTime"":[],""unlikeTime"":[],""dislikeTime"":[],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[3336],""totalReadTimeMs"":3336,""newCommentCount"":0}]"
5c4684826a7dbc00017c0a87,69f563d2d36d0896cb128658,t26lib-real,is #scotus an objective institution or a collection of ideological judicial activists?,2,1,true,false,false,19770,"[{""index"":13,""feedActionId"":""6a209d0e2f4a01dfe95838ca"",""liked"":true,""disliked"":false,""shared"":false,""likeTime"":[""2026-06-03T21:31:05.609Z""],""unlikeTime"":[],""dislikeTime"":[],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[],""totalReadTimeMs"":0,""newCommentCount"":0},{""index"":14,""feedActionId"":""6a209d0e2f4a01dfe95838da"",""liked"":false,""disliked"":false,""shared"":false,""likeTime"":[],""unlikeTime"":[],""dislikeTime"":[],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[19770],""totalReadTimeMs"":19770,""newCommentCount"":0}]"
